timestamp,__name__,endpoint,instance,job,le,namespace,pod,prometheus,service,user,value
2024-06-11 10:18:01.305999994,router_queue_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,33.0
2024-06-11 10:18:06.305999994,router_queue_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,36.0
2024-06-11 10:18:11.305999994,router_queue_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,36.0
2024-06-11 10:18:16.305999994,router_queue_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,45.0
2024-06-11 10:18:21.305999994,router_queue_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,45.0
2024-06-11 10:18:26.305999994,router_queue_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,52.0
2024-06-11 10:18:31.305999994,router_queue_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,52.0
2024-06-11 10:18:36.305999994,router_queue_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,63.0
2024-06-11 10:18:41.305999994,router_queue_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,63.0
2024-06-11 10:18:46.305999994,router_queue_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,68.0
2024-06-11 10:18:51.305999994,router_queue_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,68.0
2024-06-11 10:18:56.305999994,router_queue_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,76.0
2024-06-11 10:19:01.305999994,router_queue_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,76.0
2024-06-11 10:19:06.305999994,router_queue_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,81.0
2024-06-11 10:19:11.305999994,router_queue_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,81.0
2024-06-11 10:19:16.318000078,router_queue_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,89.0
2024-06-11 10:19:21.305999994,router_queue_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,89.0
2024-06-11 10:19:26.305999994,router_queue_duration_bucket,http,10.129.16.134:3000,tgis-bam,+Inf,fmaas-monitoring,llm-router-v7,openshift-user-workload-monitoring/user-workload,tgis-bam,Alan,98.0
